indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
,1,class,-168130,A.Mammalia,EOL-000000627548,B.Mammalia,=,,,,scientificName,source; taxonomicStatus; number_of_children,
—,2,subclass,-326288,A.Theria,EOL-000000627549,B.Theria,=,,,,scientificName,source; taxonomicStatus; taxonRank,
——,3,clade,-577014,A.Metatheria,EOL-000000627550,B.Metatheria,=,,,,scientificName,source; taxonomicStatus; number_of_children,
———,4,clade,-738667,A.Marsupialia,EOL-000000627551,B.Marsupialia,=,,,,scientificName,source; taxonomicStatus,
————,5,clade,,,EOL-000000627552,B.Australidelphia,><,-1104876,A.Australidelphia,reorganization,A.Vombatiformes is in; its sibling A.Macropididae is not,,
—————,6,order,,,EOL-000000627553,B.Diprotodontia,<,-1225509,A.Diprotodontia,increased resolution,A.Macropididae is not in it,,
——————,7,suborder,,,EOL-000000627554,B.Macropodiformes,><,-1351765,A.Macropodiformes,reorganization,B.Nambaroo is in; its sibling B.Wururoo is not,,
———————,8,family,,,EOL-000000627555,B.Balbaridae,><,-1225509,A.Diprotodontia,reorganization,A.Nambaroo is in; its sibling A.Dorcopsulus is not,,
————————,9,genus,-1351768,A.Wururoo,EOL-000000627556,B.Wururoo,=,,,moved,scientificName,source; taxonomicStatus; number_of_children,shared tip
————————,10,genus,-2227976,A.Nambaroo,EOL-000000627557,B.Nambaroo,=,,,moved,canonicalName,source; taxonomicStatus; number_of_children; scientificName,shared tip
———————,11,superfamily,,,EOL-000000627558,B.Macropodoidea,><,-1225509,A.Diprotodontia,reorganization,A.Dorcopsulus is in; its sibling A.Nambaroo is not,,
————————,12,family,,,EOL-000000627559,B.Macropodidae,<,-1870368,A.Macropodidae,increased resolution,A.Nambaroo is not in it,,
—————————,13,genus,,,EOL-000000627560,B.Setonix,~,-2328376,A.Setonix brachyurus,,monotypic-inversion,,
——————————,14,species,-2328376,A.Setonix brachyurus,EOL-000000627561,B.Setonix brachyurus,=,,,moved,canonicalName,source; taxonomicStatus; scientificName,shared tip
